Tlab          1S0           1S0_err       3P0           3P0_err       1D2           1D2_err       1P1           1P1_err       3P1           3P1_err       3D2           3D2_err       3P2           3P2_err       3S1           3S1_err       3D1           3D1_err       3D3           3D3_err       1F3           1F3_err       1G4           1G4_err       3F2           3F2_err       3F3           3F3_err       3F4           3F4_err       3G3           3G3_err       3G4           3G4_err       3H4           3H4_err       E1            E1_err        E2            E2_err        E3            E3_err        E4            E4_err
1.0000        62.0766       0.0183        0.1808        0.0003        0.0010        0.0000        -0.1859       0.0004        -0.1073       0.0001        0.0056        0.0000        0.0224        0.0001        147.6472      0.0101        -0.0049       0.0000        0.0001        0.0000        -0.0001       0.0000        0.0000        0.0000        0.0000        0.0000        -0.0000       0.0000        0.0000        0.0000        -0.0000       0.0000        0.0000        0.0000        0.0000        0.0000        0.1042        0.0005        -0.0013       0.0000        0.0001        0.0000        -0.0000       0.0000
5.0000        63.6604       0.0440        1.6575        0.0033        0.0406        0.0000        -1.4943       0.0039        -0.9331       0.0008        0.2186        0.0002        0.2575        0.0008        117.9535      0.0221        -0.1800       0.0005        0.0018        0.0000        -0.0097       0.0000        0.0002        0.0000        0.0015        0.0000        -0.0038       0.0000        0.0001        0.0000        -0.0003       0.0000        0.0009        0.0000        0.0000        0.0000        0.6567        0.0042        -0.0484       0.0000        0.0121        0.0000        -0.0002       0.0000
10.0000       60.0201       0.0626        3.7535        0.0083        0.1554        0.0001        -3.0620       0.0102        -2.0570       0.0021        0.8469        0.0010        0.7266        0.0019        102.2918      0.0305        -0.6712       0.0018        0.0052        0.0001        -0.0638       0.0000        0.0022        0.0000        0.0109        0.0000        -0.0260       0.0000        0.0010        0.0000        -0.0034       0.0000        0.0117        0.0000        0.0001        0.0000        1.1254        0.0089        -0.1844       0.0002        0.0798        0.0000        -0.0027       0.0000
25.0000       51.0708       0.0987        8.4791        0.0211        0.6744        0.0011        -6.3568       0.0332        -4.8774       0.0064        3.7294        0.0080        2.6271        0.0051        80.1358       0.0442        -2.7879       0.0092        0.0428        0.0009        -0.4206       0.0003        0.0322        0.0000        0.0905        0.0002        -0.1977       0.0002        0.0157        0.0001        -0.0534       0.0001        0.1699        0.0001        0.0029        0.0000        1.7339        0.0204        -0.7627       0.0013        0.5529        0.0004        -0.0395       0.0000
50.0000       40.8849       0.1473        11.2996       0.0331        1.7016        0.0038        -9.6634       0.0692        -8.3181       0.0126        9.0571        0.0272        6.0108        0.0094        62.1602       0.0525        -6.4231       0.0255        0.3152        0.0041        -1.1423       0.0031        0.1316        0.0007        0.3079        0.0016        -0.6114       0.0016        0.0922        0.0010        -0.2650       0.0008        0.7272        0.0008        0.0205        0.0000        2.0566        0.0367        -1.6606       0.0041        1.6147        0.0033        -0.1696       0.0001
100.0000      27.2101       0.2305        9.1397        0.0573        3.7750        0.0079        -14.2069      0.1057        -13.5706      0.0188        17.3872       0.0491        11.0623       0.0183        42.7125       0.0527        -12.1983      0.0485        1.4442        0.0163        -2.3041       0.0221        0.3703        0.0088        0.7751        0.0086        -1.3809       0.0089        0.4374        0.0051        -0.9962       0.0092        2.2483        0.0105        0.0934        0.0003        2.4726        0.0675        -2.6652       0.0083        3.4981        0.0162        -0.5062       0.0008
150.0000      17.1001       0.2658        4.3364        0.0659        5.5713        0.0144        -17.9772      0.1187        -18.0341      0.0250        21.9622       0.0657        14.0037       0.0195        30.3921       0.0576        -16.4070      0.0578        2.6432        0.0327        -3.1784       0.0549        0.6065        0.0304        1.1096        0.0169        -2.0038       0.0198        0.9710        0.0096        -1.9195       0.0296        3.8924        0.0333        0.1942        0.0020        2.9381        0.0949        -2.9825       0.0122        4.8251        0.0276        -0.8286       0.0027
200.0000      8.8305        0.2674        -0.7962       0.0616        7.1063        0.0216        -21.2348      0.1444        -21.9576      0.0370        24.0171       0.0849        15.6970       0.0255        20.9357       0.0717        -19.6821      0.0715        3.4846        0.0510        -3.9526       0.0860        0.8494        0.0591        1.2115        0.0221        -2.5088       0.0333        1.5632        0.0158        -2.8789       0.0532        5.4837        0.0575        0.3087        0.0059        3.4482        0.1124        -2.9709       0.0166        5.7489        0.0341        -1.0949       0.0047
250.0000      1.9707        0.2811        -5.7492       0.0636        8.4236        0.0243        -24.0296      0.1849        -25.3752      0.0513        24.8465       0.0957        16.5416       0.0324        12.9446       0.0867        -22.3244      0.0805        3.9314        0.0712        -4.6718       0.1016        1.1188        0.0805        1.0740        0.0277        -2.7809       0.0461        2.0962        0.0225        -3.7992       0.0694        6.8849        0.0702        0.4225        0.0121        4.0364        0.1107        -2.7475       0.0220        6.4274        0.0433        -1.2953       0.0060
300.0000      -3.6182       0.3439        -10.3245      0.0914        9.4316        0.0319        -26.4184      0.2261        -28.3075      0.0648        25.3239       0.1140        16.6968       0.0331        5.8373        0.0980        -24.3688      0.1079        4.0986        0.0946        -5.2834       0.1039        1.4376        0.0850        0.7438        0.0398        -2.6491       0.0543        2.5128        0.0272        -4.6694       0.0839        7.9860        0.0784        0.5178        0.0194        4.7533        0.1126        -2.3279       0.0302        6.9377        0.0531        -1.4442       0.0071
