Tlab          1S0           1S0_err       1D2           1D2_err       1G4           1G4_err       3P0           3P0_err       3P1           3P1_err       3F3           3F3_err       3P2           3P2_err       Ep2           Ep2_err       3F2           3F2_err       3F4           3F4_err       Ep4           Ep4_err       3H4           3H4_err
1.0000        32.6509       0.0027        0.0009        0.0000        0.0000        0.0000        0.1332        0.0002        -0.0798       0.0001        -0.0000       0.0000        0.0137        0.0001        -0.0010       0.0000        0.0000        0.0000        0.0000        0.0000        -0.0000       0.0000        0.0000        0.0000
5.0000        54.8414       0.0065        0.0422        0.0000        0.0002        0.0000        1.5824        0.0029        -0.8924       0.0007        -0.0044       0.0000        0.2130        0.0007        -0.0517       0.0000        0.0018        0.0000        0.0001        0.0000        -0.0003       0.0000        0.0000        0.0000
10.0000       55.2560       0.0096        0.1644        0.0001        0.0029        0.0000        3.7366        0.0076        -2.0367       0.0018        -0.0312       0.0000        0.6478        0.0017        -0.2009       0.0001        0.0131        0.0000        0.0013        0.0000        -0.0035       0.0000        0.0001        0.0000
25.0000       48.7891       0.0133        0.6936        0.0010        0.0397        0.0000        8.6067        0.0204        -4.8624       0.0060        -0.2299       0.0002        2.4893        0.0049        -0.8109       0.0012        0.1051        0.0002        0.0186        0.0001        -0.0494       0.0000        0.0040        0.0000
50.0000       39.1851       0.0171        1.7091        0.0037        0.1521        0.0001        11.5236       0.0322        -8.2082       0.0123        -0.6820       0.0015        5.8539        0.0090        -1.7084       0.0040        0.3414        0.0015        0.1022        0.0010        -0.1975       0.0001        0.0261        0.0000
100.0000      25.4437       0.0328        3.7814        0.0078        0.4179        0.0019        9.4974        0.0564        -13.2587      0.0186        -1.4727       0.0087        10.9802       0.0180        -2.6433       0.0083        0.8319        0.0084        0.4608        0.0050        -0.5542       0.0008        0.1099        0.0003
150.0000      15.2543       0.0458        5.6176        0.0142        0.7030        0.0064        4.8156        0.0658        -17.6198      0.0246        -2.0613       0.0195        14.0084       0.0193        -2.9134       0.0120        1.1917        0.0168        1.0132        0.0094        -0.8767       0.0027        0.2196        0.0019
200.0000      7.0405        0.0567        7.1918        0.0215        1.0065        0.0123        -0.2271       0.0617        -21.5058      0.0364        -2.5050       0.0329        15.7841       0.0250        -2.9009       0.0164        1.3266        0.0219        1.6344        0.0156        -1.1293       0.0047        0.3413        0.0058
250.0000      0.3185        0.0737        8.5379        0.0242        1.3073        0.0166        -5.1213       0.0628        -24.9032      0.0506        -2.7180       0.0457        16.7146       0.0321        -2.7028       0.0217        1.2230        0.0274        2.1999        0.0222        -1.3083       0.0060        0.4637        0.0119
300.0000      -5.0983       0.1004        9.5771        0.0311        1.5859        0.0191        -9.6632       0.0892        -27.8108      0.0641        -2.5473       0.0540        16.9511       0.0330        -2.3117       0.0298        0.9214        0.0393        2.6435        0.0269        -1.4339       0.0071        0.5716        0.0193
