Tlab           1S0            3P0            E1             1D2            1P1            3P1            3D2            3P2            3S1            3D1            E2             3D3
1.0000         62.0686        0.1798         0.1051         0.0011         -0.1875        -0.1083        0.0060         0.0217         147.7475       -0.0052        -0.0013        0.0001
5.0000         63.6270        1.6256         0.6717         0.0415         -1.4866        -0.9373        0.2220         0.2505         118.1782       -0.1833        -0.0488        0.0023
10.0000        59.9564        3.6528         1.1592         0.1567         -3.0394        -2.0638        0.8462         0.7073         102.6114       -0.6768        -0.1837        0.0062
25.0000        50.9031        8.1318         1.7929         0.6805         -6.3108        -4.8780        3.7083         2.5596         80.6286        -2.7994        -0.7551        0.0477
50.0000        40.5445        10.6978        2.1093         1.7261         -9.6699        -8.2531        8.9663         5.8859         62.7667        -6.4326        -1.6301        0.3237
100.0000       26.7834        8.4557         2.4189         3.8970         -14.5209       -13.2381       17.2753        10.9429        43.2275        -12.2349       -2.5753        1.4569
150.0000       16.9392        3.6852         2.7516         5.7885         -18.6453       -17.4561       22.1258        13.8425        30.7201        -16.4848       -2.8010        2.7360
200.0000       8.9427         -1.4446        3.1333         7.2896         -22.1831       -21.3047       24.5053        15.4568        21.2159        -19.7131       -2.6994        3.7444
250.0000       1.9587         -6.5106        3.5584         8.5272         -25.1343       -24.8427       25.3964        16.3882        13.3859        -22.2127       -2.4924        4.3651
300.0000       -4.4573        -11.4740       4.0332         9.6943         -27.5788       -28.0694       25.4540        16.9536        6.6025         -24.1394       -2.2982        4.6235
