Tlab           1S0            3P0            3P1            1D2            3P2            3F2            E2             3F3            3F4
1.0000         32.6843        0.1343         -0.0814        0.0009         0.0137         0.0000         -0.0011        -0.0000        0.0000
5.0000         54.8325        1.5818         -0.9023        0.0435         0.2144         0.0020         -0.0524        -0.0050        0.0001
10.0000        55.2190        3.7292         -2.0601        0.1653         0.6507         0.0134         -0.2004        -0.0324        0.0013
25.0000        48.6718        8.5749         -4.9317        0.6955         2.4907         0.1047         -0.8099        -0.2307        0.0197
50.0000        38.9297        11.4751        -8.3171        1.7104         5.8543         0.3380         -1.7118        -0.6901        0.1085
100.0000       24.9940        9.4526         -13.2588       3.7897         11.0129        0.8167         -2.6587        -1.5168        0.4777
150.0000       14.7556        4.7415         -17.4343       5.6060         13.9812        1.1966         -2.8727        -2.1001        1.0320
200.0000       6.5524         -0.3685        -21.2535       7.0573         15.6341        1.4241         -2.7593        -2.4862        1.6786
250.0000       -0.3134        -5.4272        -24.7729       8.2664         16.5876        1.4713         -2.5418        -2.7241        2.3248
300.0000       -6.1547        -10.3874       -27.9887       9.4205         17.1675        1.3363         -2.3377        -2.8448        2.8871
